"Categoria del Menu","Elementos del Men","Tamaño por porción","Energia (kCal)","Proteinas(g)","Grasa total (g)","Grasas saturadas (g)","Colesterol(mg)","Carbohidratos totales (g)","Azúcares totales (g)","Sodio (mg)"
"Menu MacCafe","Regular Soft Serve: Strawberry","91.79 g","10099","154","177","13","485","1978","1766","3451"
"Menu MacCafe","Medium Soft Serve: Strawberry","132.08 g","15614","205","236","174","655","3177","282","4828"
"Menu MacCafe","Regular Soft Serve: Brownie with Hot Fudge","110.79 g","20526","32","545","365","604","3526","2075","10089"
"Menu MacCafe","Medium Soft Serve: Brownie with Hot Fudge","155.08 g","31139","465","746","471","778","5524","2794","1464"
"Menu MacCafe","Regular Blackforest","125.79 g","23789","322","547","366","619","4342","2779","10447"
"Menu MacCafe","Medium Blackforest","200.08 g","42995","542","976","647","923","7904","4845","1882"
"Cartas de postres","Small McFlurry - Oreo","86.79 g","11636","205","37","225","48","1869","1449","8073"
"Cartas de postres","Regular McFlurry - Oreo","147.38 g","20939","358","681","407","80","3342","2535","1509"
"Cartas de postres","American Triple Cheese Chicken","195 g","45794","2443","2265","1156","7123","3745","764","139617"
"Cartas de postres","American Triple Cheese Veg","207 g","52469","1954","2316","1478","4874","5624","79","117427"
"Cartas de postres","Cheese Lava Burger","240 g","67106","1499","3348","1412","3321","7425","1627","115399"
"Cartas de postres","Chicken Cheese Lava Burger","307 g","83436","2737","4518","170","7311","7603","1675","174504"
"Cartas de postres","Chunky Chipotle American Burger Chicken","301 g","64136","3947","3151","954","11037","4624","916","190627"
"Cartas de postres","McSpicy Premium Chicken Burger","264.5 g","62225","3149","3465","1555","30261","436","607","161488"
"Cartas de postres","McSpicy Premium Veg Burger","212.5 g","63471","2244","3921","2046","4368","460","757","144687"
"Cartas de postres","Piri piri Mc Spicy Veg Burger","211 g","51798","1197","2453","601","81","5887","1287","117089"
"Cartas de postres","Cheesy Veg Nuggets (6pc)","90 g","25229","848","1309","753","2003","236","131","42817"
"Cartas de postres","Cheesy Veg Nuggets (9pc)","135 g","37843","1272","1963","113","3005","354","196","64225"
"Menu de bebidas","Coke Float","286.79 ml","13876","152","175","128","47","2922","2823","4453"
"Menu de bebidas","Fanta Float","286.79 ml","15156","152","175","128","47","3242","3143","6661"
"Menu de bebidas","Sprite Float","286.79 ml","14516","152","175","128","47","3082","2983","4709"
"Menu de condimentos","Mustard diping sauce","25 g","8118","52","557","178","29","724","666","22132"
"Menu de condimentos","BBQ diping sauce","25 g","5489","26","49","15","25","1236","765","11323"
"Menu de condimentos","Chilli Sauce","10 g","807","3","1","1","1","199","153","6524"
"Menu de condimentos","Piri Piri Mix","5 g","1713","51","36","8","5","25","66","41471"
"Menu de condimentos","Cheese Slice","14 g","5103","306","399","289","1343","72","54","17895"
"Menu de condimentos","Sweet Corn","40 g","4508","147","10","22","20","755","254","4"
"Menu de condimentos","Mixed Fruit Beverage","180 ml","7225","65","2","2","1","180","1683","108"
